[2026-01-29 12:32:37] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: resetPassword - IP: ::1 - User: superadmin
[2026-01-29 12:32:41] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:32:49] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:32:57] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:33:19] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:33:21] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:33:22] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:33:25] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:33:28] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:16] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:17] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:25] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-29 12:34:25] ENCRYPTED_URL - Module: clientes, Controller: cliente, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:29] ENCRYPTED_URL - Module: core, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:37] ENCRYPTED_URL - Module: core, Controller: hub, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:42] ENCRYPTED_URL - Module: core, Controller: hub, Action: acceder - IP: ::1 - User: superadmin
[2026-01-29 12:34:43] ENCRYPTED_URL - Module: seguridad, Controller: dashboard, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:56] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: index - IP: ::1 - User: superadmin
[2026-01-29 12:34:59] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:35:01] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
[2026-01-29 12:35:02] ENCRYPTED_URL - Module: seguridad, Controller: usuario, Action: editar - IP: ::1 - User: superadmin
